symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
ALG8	304	262	140	135	268	167
ALG9	319	351	179.91	204	243.98	301.01
ALK	0	1	0	0	0	1
ALKBH1	230	238	186	142	204.39	185
ALKBH2	72	92	96	59	72	62
ALKBH3	265	315	205	147	208	227
ALKBH3-AS1	0	0	1	1	1	1
ALKBH4	219.18	188.71	139.21	127.72	183.86	165.37
ALKBH5	2170	2426.03	1487	1300.71	1615.49	1936.96
ALKBH6	267	394.01	194	186.93	218	247
ALKBH7	516	482	309	224	373	456
ALKBH8	249.69	295	196	167	217	248
ALLC	0	0	0	1	0	0
ALMS1	864	658.39	373.1	404	772.99	561.01
ALMS1-IT1	10	12	4	6	8	5
ALMS1P	1	0	1	0	3	1
ALOX12	2	5	4	5	7	9.57
ALOX12-AS1	12	17	9	5	10	6
ALOX12B	0	1	0	1	1	2
ALOX12P2	6	8	3	5.02	2	6
ALOX15	1	3	0	0	1	1
ALOX15B	3	1	4	2	2	3
ALOX15P1	3	12	4	7	4	8
ALOX5	49	96	86	62	46	74
ALOX5AP	1228	1129	782	789	997	1067
ALOXE3	0	1	1	0	0	0
ALPI	0	0	0	0	0	0
ALPK1	67	215	89	28	55	82
ALPK2	7	38	19	31	9	38
ALPK3	4	12	4	3	6	5
ALPL	0	0	1	0	1	0
ALPP	0	0	0	0	0	1
ALPPL2	0	0	0	0	0	0
ALS2	345	437	277	188	286	246
ALS2CL	116	261	171	117	122	132
ALS2CR11	1	2	0	0	0	0
ALS2CR12	10	19	12	13.98	7	10.98
ALX1	0	0	0	0	0	0
ALX3	10	24	13	8	9	11
ALX4	1	1	0	0	0	3
ALYREF	1447.38	973.58	668.89	401.4	1130.81	510.98
AMACR	108.3	159.74	119.55	116.06	77.6	174.16
AMBN	0	0	0	0	0	0
AMBP	0	0	0	0	0	0
AMBRA1	758	913.16	532	447	581.01	661
AMD1	1512.98	1347	966	839.26	1333.74	1013.3
AMDHD1	9	23	10	6	7	8
AMDHD2	346	580.05	366	355.01	374	448.17
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	113	214	125	149	114	169
AMER2	0	0	0	0	1	0
AMER3	0	0	0	0	0	0
AMFR	1353	1612.75	1040	871	1002	1265
AMH	15	16	2	6	4	6
AMHR2	0	0	0	0	0	0
AMICA1	3695.02	4007	2472	2989.99	3532.97	3698
AMIGO1	62	103	63	48	57	54
AMIGO2	247	295	176	209.99	265	212
AMIGO3	140	193	85	73	88	93
AMMECR1	530	610	404.07	416.55	501.99	535
AMMECR1L	606	675	478	421	507	533.6
AMN	0	0	4	3	3	1
AMN1	71	80	53	40	46	66
AMOT	62	6	3	3	57	3
AMOTL1	22	27	13	3	17	3
AMOTL2	0	0	0	1	0	2
AMPD1	0	0	0	2	0	0
AMPD2	1052.01	1412	705	594	798	939
AMPD3	463	600	397.86	425	478	470
AMPH	6	12	9	12	19	8
AMT	126.18	261.45	165.49	152.44	143.76	186.41
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	1.02	0	0	0	0
AMY2B	115	333.98	161	162.99	118	228
AMZ1	8	4	1	4	10	5
AMZ2	1051	1155	675	644	921	861.08
AMZ2P1	91	147.05	62	52	66	69
ANAPC1	1247.36	1341.73	913.7	791.1	1178.03	1021.64
ANAPC10	135	138	78	92	103	108
ANAPC11	464	348	217	163	324	235
ANAPC13	386.1	336.16	231.61	243.75	284.99	340.34
ANAPC15	518.17	307.46	200.63	196.44	440.32	290.42
ANAPC16	1639.99	1852.64	1219.64	1024.27	1458.62	1405
ANAPC1P1	0	4.07	1.01	4.02	0	11.15
ANAPC2	912	1330.89	801	722	852	937
ANAPC4	673	788	484	479	675	583
ANAPC5	2502.48	2750.23	1796.08	1454.08	2366.03	1893
ANAPC7	884.99	901	539	526	731	726
ANG	9.3	6.95	12.36	8.93	13.73	7.67
ANGEL1	319	525	305	309	252	380
ANGEL2	908	1054.16	685.28	659	823	829
ANGPT1	0	3	0	0	0	0
ANGPT2	1	1	2	3	4	2
ANGPT4	0	0	1	0	0	2
ANGPTL1	0	1	1	0	0	1
ANGPTL2	1	0	0	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	2	5	4	0	1	0
ANGPTL5	0	0	0	0	2	0
ANGPTL6	12.86	26.65	9.42	4.69	24.2	10.37
ANGPTL7	0	1	0	0	0	1
ANHX	0	0	0	0	0	0
ANK1	781	1812.02	1301.65	1191.01	790.13	1341.85
ANK2	4	3	0	1	0	2
ANK3	356	381	257	522	364	588.96
ANKAR	43	56	25	35	38	60
ANKDD1A	189.1	58	31	34	191	16
ANKDD1B	2	1	0	0	0	1
ANKEF1	184.03	154.98	106	80	130	149
ANKFN1	0	0	0	0	0	0
ANKFY1	1613	2142	1446	1329	1658	1484
ANKH	1343.34	1836.63	1378.96	1758.13	1348.45	1875.81
ANKHD1	2093.73	3155.27	1983.81	1865.44	2161.44	2416.88
ANKHD1-EIF4EBP3	1120.55	1371.32	868.53	1128.33	956.12	1047.98
ANKIB1	1561.08	1681.99	1004.99	1038	1304.22	1286.99
ANKK1	4	9	3	8	2	9
ANKLE1	18	50	30	24	35	33.97
ANKLE2	1625.99	1949.43	1194.11	1171	1515.03	1397.61
ANKMY1	225	281.98	152	218	219.27	285
ANKMY2	325	352	219	209	276.78	291
ANKRA2	414	646	393.04	376	342	516
ANKRD1	1	0	1	0	0	0
ANKRD10	1119	1562	836	811.79	912	1031
ANKRD11	3477	4833	3191.67	2992.32	3269.91	3375.55
ANKRD12	3136.42	3961.57	2492.87	2575.04	2434.91	3375.17
ANKRD13A	2572.7	3138.31	1684	1555.04	2068.19	2487.58
ANKRD13B	185.26	216	113	108	150	177
ANKRD13C	827	1008	561	547	709	757.9
ANKRD13D	1470	2142.64	1184	1259.02	1287	1647.57
ANKRD16	70	136	50	39	61	62
ANKRD17	1969.98	2462.3	1593	1520	1749.77	1819.98
ANKRD18A	9	0	1	5	11	4.01
ANKRD18B	1	2	0	0	1	2.99
ANKRD18DP	1	0	0	2	3	0
ANKRD19P	13	16	15	7	13	21
ANKRD2	2	0	1	0	0	0
ANKRD20A1	0	0	0	0.5	4.63	2.34
ANKRD20A11P	3	3	3	1	2	0
ANKRD20A12P	2	4	0	3	2	4
ANKRD20A19P	0	0	0	0	0	0
ANKRD20A2	4.1	0	0	0.5	0	0
ANKRD20A3	0	2.47	2.65	0	0	0
ANKRD20A4	31.9	16.53	8.35	0	29.72	4.66
ANKRD20A5P	38	37	27	23	29.72	22
ANKRD20A8P	0	0	2	0	6.64	3
ANKRD20A9P	150.76	251.15	121.8	127.69	133.45	132.38
ANKRD22	3	5	2	3	0	2
ANKRD23	167	375	236	266	242	219
ANKRD24	29	73	34	31	38	23
ANKRD26	235.9	374.92	241.86	154	205	234
ANKRD26P1	1	2	0	0	0	0
ANKRD26P3	0	0	0	0	1	0
ANKRD27	1167.99	1476.77	947	750	956.43	1065
ANKRD28	1809.99	1853.96	1265	1470.63	1808.9	1577.82
ANKRD29	0	0	0	1	0	0
ANKRD30A	0	0	0	0	0	0
ANKRD30B	1	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0
ANKRD30BP2	0	1	0	0	0	0
ANKRD30BP3	0	0	0	0	0	0
ANKRD31	0	4	4	4	2	2
ANKRD32	715	499	315	508.28	579.99	617
ANKRD33	0	0	0	0	0	0
ANKRD33B	220	242	191	120.03	199	148
ANKRD34A	78.11	120.99	41	44	62	57
ANKRD34B	0	0	0	0	0	0
ANKRD34C	0	0	0	0	0	0
ANKRD34C-AS1	0	0	0	0	0	0
ANKRD35	9	7	8	7	7	4
ANKRD36	683.5	1131.49	529.62	793.64	612	776.76
ANKRD36B	449.4	982.55	526.39	455.71	433.02	474.54
ANKRD36BP1	332.09	320	200	240	281.07	254
ANKRD36BP2	7	21	9	4	3	4
ANKRD37	27.22	13.22	9.37	14.17	19.42	16
ANKRD39	255	251	206	197	255	220
ANKRD40	1081.01	1012.24	639	644.86	876	811.22
ANKRD42	63	121.95	90	69	49	90
ANKRD44	3498.01	3994.17	2643.3	2305.05	3151.3	2855.47
ANKRD44-IT1	0	1	1	2	0	2
ANKRD45	0	0	1	2	0	2
ANKRD46	153	249	152	120	146	186
ANKRD49	494	643	374	343.94	477	497
ANKRD50	13	9	5	8	12	7
ANKRD52	1571	1996	1157	1085	1419	1376.64
ANKRD53	2	2	1	0	1	0
ANKRD54	369.02	332	201	175	258	262
ANKRD55	12	24	21	8	8	9
ANKRD6	21.87	95.15	78.9	59.81	36.33	60.75
ANKRD60	4	5.49	6	1	3.99	2
ANKRD61	3	4	10	7	8	2
ANKRD62	1	3	1	1	1	1
ANKRD62P1-PARP4P3	0	0	0	0	0	0
ANKRD63	0	0	0	0	0	0
ANKRD65	0	0	1	0	1	0
ANKRD66	0	0	0	0	0	0
ANKRD7	0	1	0	2	0	0
ANKRD9	62	39	19	22	38	30
ANKS1A	405	479	282	252	359	346
ANKS1B	15	6	5	9	10	6
ANKS3	127	228.86	126	134	122	133
ANKS4B	3	2	0	1	0	2
ANKS6	70	79	34	25	46	35
ANKUB1	0	0	0	1	0	0
ANKZF1	1041	1913.52	1026	972	999.36	1204
ANLN	1191.02	388	243	179	916	229
ANO1	0	0	0	0	0	0
ANO1-AS2	0	0	0	0	0	1
ANO10	204	141	88	114	148	125
ANO2	0	0	0	0	0	0
ANO3	0	0	0	0	0	1
ANO4	0	0	0	0	0	0
ANO5	0	2	1	3	0	2
ANO6	1499	1602.99	1179	1169	1418.04	1302
ANO7	3	1	2	1	1	0
ANO8	616	968	430	422	510	581.98
ANO9	928	2119.54	1086.01	983.1	850.26	1355.09
ANP32A	2154.21	2127.53	1320.99	940.93	1776.86	1607.98
ANP32A-IT1	7	10.22	4	4	2	7
ANP32AP1	0	1	0	0	0	0
ANP32B	5679.84	4394.76	2772.44	2373.13	4477.55	3706.11
ANP32C	0	0	0	0	0	0
ANP32D	0	0	0	0	0	0
ANP32E	4533.95	2653.47	1807.31	1610.82	3516.21	2149.95
ANPEP	36	106	65	47	34	79
ANTXR1	0	0	0	2	0	0
ANTXR2	2896	2791.71	2386	2285.61	3207.1	2657.13
ANTXRL	0	0	0	0	0	0
ANTXRLP1	65	88	46	37	54	60
ANXA1	8497.57	3734.3	2592.99	3035.66	7261.92	4108
ANXA10	0	0	0	0	0	0
ANXA11	4064.41	4529.64	2798.22	2667	3248.36	3894.27
ANXA13	0	0	0	0	0	0
ANXA2	8650.43	3921	2738	2648.04	7772	3153
ANXA2P1	0	0	0	0	1	0
ANXA2P2	0	0	0	1.04	0	0
ANXA2P3	0	0	0	0	0	0
ANXA2R	708	813	499	488	656	638
ANXA3	1	3	5	0	2	0
ANXA4	1331	843	588	582	1325.51	703
ANXA5	4747.08	2186	1538	1670.01	3910.96	2182.83
ANXA6	9582.76	6220.97	4474.99	4113.33	8514.55	5649.21
ANXA7	2249.92	2430.48	1561.73	1503.54	1884.39	2029.87
ANXA8	18.19	6.56	3.58	4.72	10.74	4.21
ANXA8L1	30.81	4.44	2.42	2.28	23.26	2.79
ANXA9	7	13	11	13	7	13
AOAH	406	297	183	216	417	276
AOAH-IT1	0	0	0	0	0	0
AOC1	0	1	0	0	0	0
AOC2	8	19	16	14	11	12
AOC3	9	14	1	6	6	6
AOC4P	0	1	0	0	0	0
AOX1	1	0	0	1	1	0
AOX2P	0	1	1	0	0	0
AP1AR	352	460.1	294	269	248	397
AP1B1	1865.01	1551	978	786	1455.03	1192
AP1B1P1	0	0	0	0	0	0
AP1G1	2281.84	2495	1540.32	1539.15	2030.93	2098.84
AP1G2	2662.11	4010.01	2052.66	2010.83	2306.57	2688.25
AP1M1	1893.09	2024	1470	1138.22	1679.3	1445.7
AP1M2	0	0	0	0	0	1
AP1S1	554.21	520	386.04	283.86	429.54	426
AP1S2	760.37	698.86	453.15	387.43	482.86	576.71
AP1S3	56.06	41.67	27.51	18.03	47.97	33.88
AP2A1	1726.36	1800.19	1026.41	893.38	1311.82	1347.08
AP2A2	1004	1544	952	892	916	1121
AP2B1	5274.15	4846.29	3073	2946	4463.05	4155.96
AP2M1	3970	4265	2591	2265	3245.61	3272.54
AP2S1	916	726	484	319	724	582
AP3B1	1240	1033	683	614	872.98	841.77
AP3B2	11	1	0	1	6	2
AP3D1	2682.92	3345.93	2180	2055.69	2546.15	2359.38
AP3M1	1466.57	1532.62	969	919.39	1144.77	1284.3
AP3M2	719.02	921	656	496	654	583
AP3S1	727	666.35	421	444	596	653.1
AP3S2	649	684.99	494.81	524	554	687.91
AP4B1	550.59	666.32	420.13	385.47	511.3	413.05
AP4B1-AS1	31.41	92.18	45.87	41.53	65.64	54.95
AP4E1	710	615.01	391.98	378	553	497
AP4M1	172.07	221.06	159.71	110	133.07	148.45
AP4S1	119.67	194.31	110.79	100	117.94	126
AP5B1	600.03	749.54	478	455.94	545	518
AP5M1	942	1004.09	598	524	695.13	804
AP5S1	278.91	286.01	179	154.97	255	217.1
AP5Z1	1095.95	1590.5	952.02	891.94	1121.27	1013.01
APAF1	1593	1502.29	858	935	1331	1140.38
APBA1	42	40	33	22	28	45
APBA2	121	422	307	56	131	66
APBA3	930.02	1396	796.72	638	804	1013.15
APBB1	801.89	1252	692	625	601	965.1
APBB1IP	3737.01	3580.01	2266.28	2078	3304.33	2533.96
APBB2	3	1	3	5	2	8
APBB3	247	637	286.92	287	274	372
APC	795.71	902	536.99	556	638	674
APC2	17.96	35	17	31	23	36
APCDD1	0	0	0	0	0	1
APCDD1L	0	0	0	0	1	0
APCDD1L-AS1	0	0	0	0	0	0
APCS	0	0	0	0	0	0
APEH	1607.24	1857	1125.13	1032	1265	1407.01
APELA	0	0	0	0	2	0
APEX1	1197	1790.86	1245.83	948	1226	1381.99
APEX2	430	377	255	230	369	284
APH1A	2739.97	2650.01	1664	1584	2122.99	2182.53
APH1B	155.02	302	146	136	113	198
API5	2668	2552	1680	1447.05	2244	1926.14
APIP	352.6	285	163	159	269	230
APITD1	133.47	97.61	65.51	32.75	81.21	40.75
APITD1-CORT	7.52	3.74	2.49	5.25	4.73	10.25
APLF	75	90	60	47	50	83
APLN	0	0	0	0	2	0
APLNR	0	0	0	0	0	0
APLP1	3	5	0	1	1	0
APLP2	1042	1114	673	555	764	904
APMAP	1882	1912	1404.01	1408.32	1794.46	1564
APOA1	2	4	1	1	0	0
APOA1-AS	0	1	0	0	0	1
APOA1BP	417	436	279	226	321	354
APOA2	0	0	0	0	0	0
APOA4	0	0	0	0	0	0
APOA5	0	0	0	0	0	0
APOB	0	0	0	0	0	0
APOBEC1	0	0	0	0	0	0
APOBEC2	1	7	5	14	2	4
APOBEC3A	0	0	1.57	1.01	1.54	2.04
APOBEC3A_B	0	0	0	0	0	0
APOBEC3B	660.75	108.5	58.47	77.75	523.89	108.09
APOBEC3B-AS1	0	0	0	0	0	0
APOBEC3C	1793	1324.21	761	821	1492	1235
APOBEC3D	809.14	752.04	451.92	609.42	744.03	794.57
APOBEC3F	383.94	508.45	338.66	320.35	339.4	390.67
APOBEC3G	2618.93	1889.75	1271.79	1196.25	2439.14	1629.23
APOBEC3H	979.19	708.02	379	637	847.1	945
APOBEC4	1	0	0	0	0	0
APOBR	993	936	786.02	900	961	994
APOC1	0	0	0	0	0	0
APOC1P1	0	0	0	0	0	0
APOC2	0	0	0	0	0	0
APOC3	0	0	0	0	0	0
APOC4	0	0	0	0	0	0
APOC4-APOC2	0	0	0	0	0	0
APOD	4	6	5	2	4	3
APOE	2	4	1	2	2	0
APOF	2	1	1	0	0	0
APOH	0	0	0	0	0	1
APOL1	967	1255.03	766.07	559.08	754	778.92
APOL2	1319.8	1819.72	1032.61	828.43	1125.92	1150.73
APOL3	2410	2972.29	2110	1720.84	2457.78	2010.61
APOL4	45	30	25	17	40.84	23
APOL5	0	0	0	0	0	0
APOL6	3289.1	3943.04	2444.54	2034	2609.53	2869.17
APOLD1	211	132	88	76	168	89.9
APOM	20	22	5	4	12	7
APOO	81	68	47	21	58	35
APOOL	289.65	338.1	227	187.94	260	251
APOOP5	0	0	0	0	0	0
APOPT1	311.99	323.45	176.96	180	232	265
APP	265	740	594	359	211	397
APPBP2	789	1043.23	635	560	651.67	804.99
APPL1	1389	1216.79	799.99	751.95	1162.88	1026.67
APPL2	822	1084	666	676	813	867
APRT	1222	1506	943	794	989	1230
APTR	56.97	82.16	62.11	56.37	68.5	73.43
APTX	337	361.95	219	182.15	349	211.03
AQP1	2	5	3	1	1	1
AQP10	0	0	0	0	2	0
AQP11	6	27	13	21	9	11.01
AQP12A	0	0	0	0	0	0
AQP12B	0	0	0	0	0	0
AQP2	0	0	1	0	0	0
AQP3	4796.24	8770.55	9132.12	7654.65	6184.94	7359.22
AQP4	0	0	0	0	0	0
AQP4-AS1	1.04	2	0.94	3.02	0	1
AQP5	0	0	0	0	0	0
AQP6	3	5	2	2	5.94	2
AQP7	3	6	4	0	1	2
AQP7P1	3	3	6	0	2	3
AQP7P3	0	0	0	0	0	0
AQP8	0	0	0	1	0	0
AQP9	1	1	2	0	1	0
AQR	1312	1356	829	817.99	1144	1016
AR	0	1	0	1	1	0.2
ARAF	1527.97	1688.02	965	807	1160	1237.15
ARAP1	2599.99	3349	1875	1721.57	2107	2285
ARAP2	2076.35	2121.76	1617.19	1567.04	2574.38	1470.06
ARAP3	320	407	211	361	320	461.15
ARC	0	0	1	0	0	0
ARCN1	2877.67	3030.03	2076.21	1676.01	2221.14	2423.52
AREG	0	1	0	1	0	4
AREL1	1227.11	1466.9	906.02	839	1192.03	1126
ARF1	6307	5669.94	3720.89	3250.17	4905	4541.89
ARF3	2425	2637.33	1510.42	1485	1851.97	2282.17
ARF4	806	865	555	516	696.86	706
ARF5	2161.01	2068.42	1379	1220.94	1843	1731
ARF6	6051.07	6005.14	4323.66	3738.87	5249.28	4720.48
ARFGAP1	1217	1774	1092	1084	1266.99	1196
ARFGAP2	1517.65	1773.06	1140	1081	1369	1355.07
ARFGAP3	1113	1174.97	704.69	639	758	941.39
ARFGEF1	2131	2469.23	1560.4	1502	1834	1860.47
ARFGEF2	1442.45	1735.21	1094	1023	1349.73	1271
ARFGEF3	1	3	0	0	2	1
ARFIP1	354	408	247	182	263.96	235.02
ARFIP2	513	627.99	362	327	470.89	448
ARFRP1	639	805.27	539.74	487	580.96	572
ARG1	0	0	0	0	0	5
ARG2	98.11	65.54	62.22	58.4	66.74	87.99
ARGFX	0	1	0	1	0	1
ARGFXP2	4	11	2	3	3	0
ARGLU1	2561.72	4230.44	2084.12	1986.92	2283.12	2642.52
ARHGAP1	1843.01	1916.1	1219.77	1187.98	1493.98	1512.85
ARHGAP10	290	154	144	135	325	150
ARHGAP11A	2018.69	1118.45	621.05	532.65	1604.48	818.52
ARHGAP11B	95.31	106.55	48.97	61.35	85.52	81.48
ARHGAP12	330	395	219	194	264	256
ARHGAP15	2697.01	2015	1292	1296.85	2261.98	1983
ARHGAP17	977	1199	706	625.01	788	873
ARHGAP18	498	248	144	170	373	239
ARHGAP19	1464.57	872.61	560	461.93	1130	590
ARHGAP19-SLIT1	5.43	9.39	0	0	0	0
ARHGAP20	0	0	0	0	1	0
ARHGAP21	559	649	507	401.17	571	466
ARHGAP22	4	4	1	3	3	4
ARHGAP23	6	2	2	2	3	4
ARHGAP24	2	1	2	4	1	1
ARHGAP25	5338	5035.97	4004.86	3921	5936.72	4270.99
ARHGAP26	785.76	534.03	339.19	292.07	641.13	369.01
ARHGAP26-AS1	0	0	0	0	0	0
ARHGAP26-IT1	0	0	0	0	0	0
ARHGAP27	1836.9	2457.78	1342.99	1359	1515.99	1808
ARHGAP28	0	0	0	0	0	0
ARHGAP29	0	0	0	0	0	0
ARHGAP30	9812.36	9618.15	6124.94	5851.63	8596.56	7668.99
ARHGAP31	141.99	203	142	109	92	111
ARHGAP31-AS1	0	0	0	0	0	0
ARHGAP32	13	21	13	28	20	22
ARHGAP33	567	560	251	229	564	303
ARHGAP35	2260.07	2365.48	1736.84	2030.4	2168.91	2163.17
ARHGAP36	0	0	0	0	0	0
ARHGAP39	1	5	1	2	0	1
ARHGAP4	5359	9271.19	5410.97	4913.73	5418.42	6006.26
ARHGAP40	0	2	0	0	0	0
ARHGAP42	1	3	2	0	0	4
ARHGAP44	9	8	7	2	5	6
ARHGAP5	448	820	640	639	492	700.36
ARHGAP5-AS1	0	8	4	2	1	5
ARHGAP6	1	0	1	0	1	1
ARHGAP8	0	2.96	2.68	12	3	21
ARHGAP9	2915.01	4769.39	2497.54	2343	2568.81	3255.03
ARHGDIA	7641	5962	3744	3374	6084	5030.94
ARHGDIB	21278.29	16673	11637	9826	17645	14161
ARHGDIG	0	0	0	0	0	1
ARHGEF1	11739.03	17192	10833.18	11152.08	12475.39	11706.82
ARHGEF10	12	16	9	6	9	4
ARHGEF10L	0	0	0	0	1	0
ARHGEF11	779	845	525	448	706	590
ARHGEF12	1561.02	1994.75	1484	1705.24	1691.98	1821.06
ARHGEF15	4	0	1	0	2	0
ARHGEF16	0	0	0	0	0	1
ARHGEF17	5	2	3	1	3	2
ARHGEF18	4529.09	4919	3281.04	2840.44	4077.3	3379
ARHGEF19	173	236	104	83	128	121
ARHGEF2	2444	2827	1677.15	1524.14	2063	2211.18
ARHGEF25	6	6	0	2	6	9
ARHGEF26	2	3	4	1	1	3
ARHGEF26-AS1	9.93	30	16	22	11.99	21
ARHGEF28	2	0	0	0	4	0
ARHGEF3	3501	4194	3090	2579.01	3471	2893.01
ARHGEF3-AS1	0	0	0	0	0	0
ARHGEF33	1	4	1	0	3.15	3
ARHGEF34P	123.11	123.48	74.11	59.57	134.2	58.64
ARHGEF35	85.26	69.78	50.1	64.72	76.78	75.89
ARHGEF37	9	5	1	3	4	4
ARHGEF38	1	0	0	1	1	1
ARHGEF38-IT1	0	0	0	0	0	0
ARHGEF39	255.44	205.98	125.46	100.31	252.4	183.15
ARHGEF4	3	7	7	1	4	1
ARHGEF40	0	0	1	0	1	1
ARHGEF5	250.31	308.88	190.21	115.86	288.91	168.47
ARHGEF6	6129.06	6652.18	3781.29	3397.95	4475.06	5132.03
ARHGEF7	1391.06	2054	1422	1236	1359	1382.06
ARHGEF7-AS1	0	0	0	0	0	0
ARHGEF9	363	458.01	235	199	237	334
ARHGEF9-IT1	0	0	0	0	0	0
ARID1A	4090.15	4697.85	2790.05	2680.2	3108.94	3551.8
ARID1B	1829.17	2221.24	1424.07	1355	1628	1675.95
ARID2	1643.99	2022	1318.21	1348.64	1565.23	1618.91
ARID3A	287	348	203.02	182	210.46	252
ARID3B	734.98	833.97	457.01	403	569	564
ARID3C	0	1	1	0	0	1
ARID4A	1152.01	1305.41	805	793	952.46	1084
ARID4B	2040.75	2427	1473	1354.95	1442	1790.41
ARID5A	443	1220	753.52	437	380	561
ARID5B	1394.89	2103.54	1585	1341	1378.36	1599
ARIH1	1396	1598	982	871	1106	1332
ARIH2	1564.05	1946.39	1189	1109.99	1377.08	1451.81
ARIH2OS	87.49	151.94	86.42	62.1	86.77	92.59
ARL1	562	507	380	335	464.9	445
ARL10	57	135	63	62	59	76
ARL11	12	20	15	8	4	15
ARL13A	0	0	1	0	0	1
ARL13B	203	188	125	94	180	154
ARL14	0	0	0	0	0	0
ARL14EP	584.64	1057.12	708	585.03	552.1	710.44
ARL14EPL	0	0	0	0	0	0
ARL15	194	208	120	104.01	142	159
ARL16	280.75	263	158	240	224	284
ARL17A	499.82	1700.81	856.98	1178.82	569.58	1263.99
ARL17B	59.06	79.81	46.33	25.3	38.34	79.21
ARL2	345	452	276	196	260	306
ARL2-SNX15	0	0	0	0	0	0
ARL2BP	1436.02	1689	1161.44	1132.46	1202.59	1656
ARL3	353	236	149	159	242	188
ARL4A	261	223	168	226	216.09	291
ARL4C	7848.26	12617.37	10497.2	7771.15	8443.18	8332.43
ARL4D	70	48	17	28	44	48
ARL5A	1081.98	759.13	424	436.97	824.51	589.03
ARL5B	326	322.04	190	216	286	277.58
ARL5C	0	0	0	0	0	0
ARL6	36	45	27	15	22	39
ARL6IP1	9589.53	5448	3559.81	2933	7177.73	4281.6
ARL6IP4	1894.48	1807.67	1207	1049.99	1508.65	1638
ARL6IP5	4151.43	5605.03	3452.92	3396.98	3185.8	5000.71
ARL6IP6	825	763	481	543	674.74	687
ARL8A	738	747.04	513	522	708	655
ARL8B	1349	1420	938	839	1136.73	1153
ARL9	0	0	0	0	0	0
ARMC1	867.85	660	444	396	639.01	508
ARMC10	578.64	540.02	325.58	287.19	521.41	465.8
ARMC12	5	11	8	1	5	8
ARMC2	90	90	56	61	82	63
ARMC2-AS1	1	1	2	1	0	1
ARMC3	0	0	0	0	0	0
ARMC4	0	0	0	0	1	0
ARMC5	261	361	198	141	186	237
ARMC6	574	588	307	284	442	409
ARMC7	458	565	359	322	377	403
ARMC8	857	1007.82	614.95	526	767	748
ARMC9	5.91	30.02	12.01	13.92	15.13	6.91
ARMCX1	0	0	0	1	2	1
ARMCX2	6	9	1	6	4	6
ARMCX3	506	749	434	368	457	605
ARMCX4	18	32	15	16	25	30
ARMCX5	142	305.42	211	114.45	127.55	128.04
ARMCX5-GPRASP2	11	26.58	27	13.55	9.45	11.96
ARMCX6	336	372	180	206	235	288
ARMS2	0	0	0	0	0	0
ARMT1	805	596	353	331	574	529
ARNT	1482.02	1815.23	1074.73	1149	1224	1520.25
ARNT2	2	3	1	2	1	2
ARNTL	1494.06	1489	808	871	1190.02	1234
ARNTL2	310	418	287.9	244	297	313.42
ARNTL2-AS1	0	0	0	0	0	1
ARPC1A	789	700	417	437	768	535
ARPC1B	7433.94	6098.98	4334.04	3498.97	6435.25	4974.92
ARPC2	10886.41	8196.19	5931.73	5055.46	9747.43	6852.15
ARPC3	4807.69	4197	2673	2441	3792.57	3756
ARPC4	4631.79	3774.35	2616.5	2251.41	4338.41	3180.1
ARPC4-TTLL3	146.67	312.33	170.83	187.31	185.01	239.03
ARPC5	5691.27	4434.35	3336.09	2645.43	4694.76	3551.93
ARPC5L	775	613	342	281	605	520
ARPIN	8.07	12.04	5.01	10	0	10
ARPP19	3518.37	3413.06	2239.21	1992.56	3100.7	2594.49
ARPP21	0	0	0	0	0	0
ARR3	0	0	0	0	0	0
ARRB1	549	904.17	471.98	312.02	407.3	584.95
ARRB2	5428.61	4846.03	3290.82	3489.55	4869	4450.56
ARRDC1	831.96	1076	612	614.08	727	823
ARRDC1-AS1	279	314	188	145	256	235
ARRDC2	2376.68	3716	2619	2320.86	2446	2488.03
ARRDC3	1333	1863.94	1149	1186.07	1044.71	1532.77
ARRDC3-AS1	32.75	39	12.92	19.01	24.96	20
ARRDC4	7	16	17	9	11	18
ARRDC5	23	83	40	14	9	16
ARSA	1101	2390.43	1229.48	1177	1097.54	1707.75
ARSB	215	216	109	141	169	167
ARSD	91	61	52	34	69	49
ARSE	0	0	0	0	0	0
ARSF	0	0	0	0	0	0
ARSG	60	128	80	67	81	52
ARSH	0	0	0	0	0	0
ARSI	0	0	0	0	0	0
ARSJ	1	3	0	1	0	4
ARSK	148	167	88	89	111	112
ART1	0	0	0	0	0	0
ART3	0	0	2	0	0	2
ART4	0	0	0	0	0	0
ART5	0	0	0	0	0	0
ARTN	0	0	1	0	1	0
ARV1	242	196.98	129	95	179	125
ARVCF	5	25	8	8	13	12
ARX	0	0	0	1	0	0
AS3MT	0	0	0.19	15.01	0	0
ASAH1	564.96	874.54	570.29	607	459.02	835
ASAH2	1.25	3.75	6.29	2.54	0	7.36
ASAH2B	10.75	19.25	18.71	4.46	10	13.64
ASAP1	776	1044.33	722	580	754	717.97
ASAP1-IT1	0	0	0	0	0	0
ASAP1-IT2	0	2	2	1	2.96	2.87
